"","Outcome","Age category","N DP","Incidence (95% CI) DP","N SP","Incidence (95% CI) SP","Incidence ratio (95% CI)"
"1","Moderate to severe stunting","Birth",319,"18.5 (14.6, 23.1)",303,"14.5 (11.0, 18.9)","1.27 (0.86, 1.88)"
"2","Moderate to severe stunting","1 day-3 months",255,"26.3 (21.3, 32.0)",252,"19.8 (15.4, 25.2)","1.32 (0.92, 1.91)"
"3","Moderate to severe stunting",">3-6 months",182,"10.4 (6.8, 15.7)",197,"8.6 (5.5, 13.4)","1.21 (0.63, 2.33)"
"4","Moderate to severe stunting",">6-9 months",160,"8.1 (4.8, 13.4)",174,"8.6 (5.3, 13.7)","0.94 (0.45, 1.98)"
"5","Moderate to severe stunting",">9-12 months",147,"4.8 (2.3, 9.5)",153,"2.0 (0.7, 5.6)","2.43 (0.63, 9.39)"
"6","Severe stunting","Birth",319,"4.1 (2.4, 6.8)",303,"2.3 (1.1, 4.7)","1.76 (0.70, 4.42)"
"7","Severe stunting","1 day-3 months",300,"5.3 (3.3, 8.5)",289,"6.9 (4.5, 10.4)","0.77 (0.40, 1.49)"
"8","Severe stunting",">3-6 months",278,"4.0 (2.2, 6.9)",261,"1.9 (0.8, 4.4)","2.07 (0.72, 5.94)"
"9","Severe stunting",">6-9 months",259,"1.5 (0.6, 3.9)",248,"1.6 (0.6, 4.1)","0.96 (0.24, 3.83)"
"10","Severe stunting",">9-12 months",254,"1.6 (0.6, 4.0)",236,"1.3 (0.4, 3.7)","1.24 (0.28, 5.53)"
"11","Moderate to severe wasting","Birth",302,"2.6 (1.3, 5.1)",294,"3.1 (1.6, 5.7)","0.87 (0.33, 2.24)"
"12","Moderate to severe wasting","1 day-3 months",297,"11.4 (8.3, 15.6)",280,"12.5 (9.1, 16.9)","0.92 (0.57, 1.47)"
"13","Moderate to severe wasting",">3-6 months",256,"4.3 (2.4, 7.5)",241,"3.3 (1.7, 6.4)","1.29 (0.52, 3.22)"
"14","Moderate to severe wasting",">6-9 months",244,"2.5 (1.1, 5.3)",224,"2.7 (1.2, 5.7)","0.92 (0.30, 2.85)"
"15","Moderate to severe wasting",">9-12 months",236,"2.5 (1.2, 5.4)",211,"2.8 (1.3, 6.1)","0.89 (0.29, 2.77)"
"16","Severe wasting","Birth",302,"0.7 (0.2, 2.4)",294,"1.0 (0.3, 3.0)","0.65 (0.11, 3.88)"
"17","Severe wasting","1 day-3 months",303,"1.7 (0.7, 3.8)",286,"1.7 (0.7, 4.0)","0.94 (0.27, 3.26)"
"18","Severe wasting",">3-6 months",291,"1.4 (0.5, 3.5)",278,"1.4 (0.6, 3.6)","0.96 (0.24, 3.82)"
"19","Severe wasting",">6-9 months",283,"0.4 (0.0, 2.0)",263,"0.4 (0.0, 2.1)","0.93 (0.06, 14.85)"
"20","Severe wasting",">9-12 months",280,"1.1 (0.4, 3.1)",254,"0.0 (0.0, 1.5)","51981985.22 (0.00, Inf)"
"21","Underweight","Birth",324,"3.7 (2.1, 6.4)",309,"4.9 (3.0, 7.9)","0.76 (0.36, 1.63)"
"22","Underweight","1 day-3 months",308,"6.8 (4.5, 10.2)",290,"5.5 (3.4, 8.8)","1.24 (0.64, 2.37)"
"23","Underweight",">3-6 months",275,"4.7 (2.8, 7.9)",261,"4.2 (2.4, 7.4)","1.12 (0.50, 2.50)"
"24","Underweight",">6-9 months",257,"3.5 (1.9, 6.5)",242,"3.3 (1.7, 6.4)","1.06 (0.41, 2.75)"
"25","Underweight",">9-12 months",248,"3.2 (1.6, 6.2)",226,"2.7 (1.2, 5.7)","1.22 (0.42, 3.50)"
