"","Outcome","Age category","N DP","Incidence (95% CI) DP","N SP","Incidence (95% CI) SP","Incidence ratio (95% CI)"
"1","Moderate to severe stunting","Birth",69,"21.7 (13.6, 32.8)",77,"24.7 (16.4, 35.4)","0.88 (0.45, 1.73)"
"2","Moderate to severe stunting","1 day-3 months",52,"38.5 (26.5, 52.0)",58,"29.3 (19.2, 42.0)","1.31 (0.69, 2.50)"
"3","Moderate to severe stunting",">3-6 months",30,"16.7 (7.3, 33.6)",37,"10.8 (4.3, 24.7)","1.54 (0.41, 5.74)"
"4","Moderate to severe stunting",">6-9 months",24,"0.0 (0.0, 13.8)",32,"3.1 (0.2, 15.7)","0.00 (0.00, Inf)"
"5","Moderate to severe stunting",">9-12 months",24,"0.0 (0.0, 13.8)",27,"0.0 (0.0, 12.5)","1.00 (0.00, Inf)"
"6","Severe stunting","Birth",69,"5.8 (2.3, 14.0)",77,"1.3 (0.1, 7.0)","4.46 (0.50, 39.93)"
"7","Severe stunting","1 day-3 months",62,"6.5 (2.5, 15.4)",76,"14.5 (8.3, 24.1)","0.45 (0.14, 1.40)"
"8","Severe stunting",">3-6 months",57,"7.0 (2.8, 16.7)",59,"0.0 (0.0, 6.1)","125250736.95 (0.00, Inf)"
"9","Severe stunting",">6-9 months",51,"0.0 (0.0, 7.0)",56,"1.8 (0.1, 9.4)","0.00 (0.00, Inf)"
"10","Severe stunting",">9-12 months",50,"0.0 (0.0, 7.1)",51,"0.0 (0.0, 7.0)","1.00 (0.00, Inf)"
"11","Moderate to severe wasting","Birth",65,"3.1 (0.8, 10.5)",74,"4.1 (1.4, 11.3)","0.76 (0.13, 4.54)"
"12","Moderate to severe wasting","1 day-3 months",61,"21.3 (12.9, 33.1)",71,"11.3 (5.8, 20.7)","1.89 (0.78, 4.56)"
"13","Moderate to severe wasting",">3-6 months",48,"0.0 (0.0, 7.4)",59,"3.4 (0.9, 11.5)","0.00 (0.00, Inf)"
"14","Moderate to severe wasting",">6-9 months",48,"4.2 (1.2, 14.0)",52,"3.8 (1.1, 13.0)","1.08 (0.15, 7.69)"
"15","Moderate to severe wasting",">9-12 months",45,"2.2 (0.1, 11.6)",46,"2.2 (0.1, 11.3)","1.02 (0.06, 16.34)"
"16","Severe wasting","Birth",65,"0.0 (0.0, 5.6)",74,"0.0 (0.0, 4.9)","1.00 (0.00, Inf)"
"17","Severe wasting","1 day-3 months",63,"3.2 (0.9, 10.9)",74,"2.7 (0.7, 9.3)","1.17 (0.17, 8.34)"
"18","Severe wasting",">3-6 months",61,"1.6 (0.1, 8.7)",68,"1.5 (0.1, 7.9)","1.11 (0.07, 17.82)"
"19","Severe wasting",">6-9 months",59,"0.0 (0.0, 6.1)",61,"0.0 (0.0, 5.9)","1.00 (0.00, Inf)"
"20","Severe wasting",">9-12 months",58,"0.0 (0.0, 6.2)",57,"0.0 (0.0, 6.3)","1.00 (0.00, Inf)"
"21","Underweight","Birth",71,"1.4 (0.1, 7.6)",81,"9.9 (5.1, 18.3)","0.14 (0.02, 1.14)"
"22","Underweight","1 day-3 months",67,"13.4 (7.2, 23.6)",72,"4.2 (1.4, 11.5)","3.22 (0.87, 11.91)"
"23","Underweight",">3-6 months",55,"7.3 (2.9, 17.3)",62,"6.5 (2.5, 15.4)","1.13 (0.28, 4.51)"
"24","Underweight",">6-9 months",49,"4.1 (1.1, 13.7)",55,"3.6 (1.0, 12.3)","1.12 (0.16, 7.97)"
"25","Underweight",">9-12 months",47,"2.1 (0.1, 11.1)",49,"0.0 (0.0, 7.3)","103226636.49 (0.00, Inf)"
