,Mediator,Outcome,Gravidity,Age group,N,Interaction,Aim1 effect,Total effect,Total effect 95% CI,Average mediated effect,Average mediated effect 95% CI,ACME p after BH adjustment,Average direct effect,Average direct effect 95% CI
1,Anemia at gestational week 28,Length-for-age Z score,All,Birth,608,1,-0.4374,-0.2528,"[-0.4225, -0.0782]",0.0035,"[-0.0066, 0.0202]",NA,-0.2563,"[-0.426, -0.0804]"
2,Anemia at gestational week 28,Length-for-age Z score,All,Birth,608,0,-0.26,-0.2584,"[-0.4238, -0.0857]",0.0037,"[-0.0077, 0.0225]",NA,-0.2621,"[-0.4266, -0.0889]"
3,Anemia at gestational week 28,Length-for-age Z score,Multi,Birth,469,1,-0.4018,-0.2432,"[-0.4416, -0.0334]",0.0006,"[-0.0143, 0.0175]",NA,-0.2438,"[-0.4403, -0.0426]"
4,Anemia at gestational week 28,Length-for-age Z score,Multi,Birth,469,0,-0.2484,-0.2503,"[-0.4455, -0.0536]",0.0009,"[-0.0142, 0.0175]",NA,-0.2511,"[-0.4461, -0.0475]"
5,Anemia at gestational week 28,Length-for-age Z score,Single,Birth,139,1,-0.7009,-0.3121,"[-0.6883, 0.0806]",0.0109,"[-0.0643, 0.0998]",NA,-0.323,"[-0.6788, 0.0363]"
6,Anemia at gestational week 28,Length-for-age Z score,Single,Birth,139,0,-0.3344,-0.3225,"[-0.6535, 0.0386]",0.0129,"[-0.0628, 0.1004]",NA,-0.3354,"[-0.6579, 0.0176]"
7,Anemia at gestational week 28,Length-for-age Z score,All,1 day-3 months,593,1,-0.2622,-0.1919,"[-0.3541, -0.0218]",0.0081,"[-0.0119, 0.0323]",NA,-0.1999,"[-0.3609, -0.0355]"
8,Anemia at gestational week 28,Length-for-age Z score,All,1 day-3 months,593,0,-0.2049,-0.1985,"[-0.3483, -0.04]",0.0084,"[-0.0116, 0.0357]",NA,-0.2069,"[-0.3564, -0.0449]"
9,Anemia at gestational week 28,Length-for-age Z score,Multi,1 day-3 months,458,1,-0.2814,-0.2299,"[-0.4121, -0.0516]",-0.0001,"[-0.0238, 0.0252]",NA,-0.2299,"[-0.4095, -0.049]"
10,Anemia at gestational week 28,Length-for-age Z score,Multi,1 day-3 months,458,0,-0.2353,-0.2368,"[-0.4187, -0.0582]",0,"[-0.0246, 0.0248]",NA,-0.2369,"[-0.4098, -0.0614]"
11,Anemia at gestational week 28,Length-for-age Z score,Single,1 day-3 months,135,1,-0.2709,-0.1048,"[-0.4726, 0.2799]",0.0497,"[-0.0179, 0.1639]",NA,-0.1545,"[-0.5068, 0.203]"
12,Anemia at gestational week 28,Length-for-age Z score,Single,1 day-3 months,135,0,-0.1652,-0.1115,"[-0.4568, 0.2599]",0.0538,"[-0.0183, 0.1657]",NA,-0.1654,"[-0.4977, 0.1852]"
13,Anemia at gestational week 28,Length-for-age Z score,All,>3-6 months,575,1,-0.1987,-0.1288,"[-0.2929, 0.0401]",0.0042,"[-0.0094, 0.0231]",NA,-0.133,"[-0.3034, 0.0351]"
14,Anemia at gestational week 28,Length-for-age Z score,All,>3-6 months,575,0,-0.1373,-0.1352,"[-0.299, 0.0368]",0.0043,"[-0.0099, 0.0244]",NA,-0.1396,"[-0.3063, 0.0305]"
15,Anemia at gestational week 28,Length-for-age Z score,Multi,>3-6 months,447,1,-0.2316,-0.1771,"[-0.3673, 0.0126]",-0.0005,"[-0.0184, 0.0173]",NA,-0.1766,"[-0.3673, 0.0105]"
16,Anemia at gestational week 28,Length-for-age Z score,Multi,>3-6 months,447,0,-0.1821,-0.1842,"[-0.3704, 0.0035]",-0.0002,"[-0.0161, 0.0168]",NA,-0.184,"[-0.3698, 0.0071]"
17,Anemia at gestational week 28,Length-for-age Z score,Single,>3-6 months,128,1,-0.2261,-0.0588,"[-0.4291, 0.319]",0.0461,"[-0.0191, 0.1606]",NA,-0.1049,"[-0.4425, 0.2463]"
18,Anemia at gestational week 28,Length-for-age Z score,Single,>3-6 months,128,0,-0.1126,-0.0676,"[-0.4153, 0.2999]",0.047,"[-0.0228, 0.1588]",NA,-0.1146,"[-0.4476, 0.2481]"
19,Anemia at gestational week 28,Length-for-age Z score,All,>6-9 months,559,1,-0.2112,-0.1051,"[-0.2868, 0.0793]",0.0048,"[-0.0109, 0.0259]",NA,-0.1099,"[-0.2932, 0.072]"
20,Anemia at gestational week 28,Length-for-age Z score,All,>6-9 months,559,0,-0.1151,-0.1124,"[-0.2828, 0.0676]",0.0049,"[-0.0099, 0.0256]",NA,-0.1173,"[-0.2861, 0.0651]"
21,Anemia at gestational week 28,Length-for-age Z score,Multi,>6-9 months,437,1,-0.1885,-0.1403,"[-0.3461, 0.0689]",-0.001,"[-0.0204, 0.0179]",NA,-0.1393,"[-0.3465, 0.0684]"
22,Anemia at gestational week 28,Length-for-age Z score,Multi,>6-9 months,437,0,-0.1449,-0.1477,"[-0.3576, 0.056]",-0.0009,"[-0.0196, 0.0169]",NA,-0.1468,"[-0.3563, 0.0605]"
23,Anemia at gestational week 28,Length-for-age Z score,Single,>6-9 months,122,1,-0.4106,-0.0682,"[-0.4338, 0.3155]",0.0483,"[-0.0237, 0.1602]",NA,-0.1165,"[-0.4832, 0.2695]"
24,Anemia at gestational week 28,Length-for-age Z score,Single,>6-9 months,122,0,-0.1253,-0.0781,"[-0.43, 0.3015]",0.0507,"[-0.0197, 0.1648]",NA,-0.1288,"[-0.4823, 0.2404]"
25,Anemia at gestational week 28,Length-for-age Z score,All,>9-12 months,548,1,-0.0857,-0.0095,"[-0.1718, 0.1558]",0.0051,"[-0.0102, 0.0255]",NA,-0.0146,"[-0.1812, 0.148]"
26,Anemia at gestational week 28,Length-for-age Z score,All,>9-12 months,548,0,-0.0191,-0.0162,"[-0.1697, 0.1453]",0.0049,"[-0.0109, 0.0245]",NA,-0.0212,"[-0.172, 0.1445]"
27,Anemia at gestational week 28,Length-for-age Z score,Multi,>9-12 months,432,1,-0.0852,-0.0717,"[-0.2575, 0.1102]",0.0002,"[-0.0175, 0.0215]",NA,-0.0719,"[-0.2546, 0.1078]"
28,Anemia at gestational week 28,Length-for-age Z score,Multi,>9-12 months,432,0,-0.0771,-0.0785,"[-0.2621, 0.1038]",0,"[-0.0185, 0.0177]",NA,-0.0785,"[-0.2572, 0.1049]"
29,Anemia at gestational week 28,Length-for-age Z score,Single,>9-12 months,116,1,-0.1711,0.1531,"[-0.1672, 0.4916]",0.0358,"[-0.0281, 0.1358]",NA,0.1173,"[-0.2121, 0.4471]"
30,Anemia at gestational week 28,Length-for-age Z score,Single,>9-12 months,116,0,0.1116,0.1446,"[-0.17, 0.4749]",0.0365,"[-0.0285, 0.1316]",NA,0.1081,"[-0.2118, 0.4383]"
