"","gravidae","outcome","mediator","mediator_label","age_group","N_from_analysis","ACME_CI"
"1","all","haz_quarter","ADA",NA,"Birth",255,"0.0049 (-0.02, 0.035)"
"2","all","haz_quarter","ADA",NA,"1 day-3 months",251,"-0.0031 (-0.0349, 0.0243)"
"3","all","haz_quarter","ADA",NA,">3-6 months",255,"-0.0146 (-0.061, 0.0117)"
"4","all","haz_quarter","ADA",NA,">6-9 months",255,"-0.0027 (-0.0343, 0.0243)"
"5","all","haz_quarter","ADA",NA,">9-12 months",255,"0.009 (-0.0132, 0.0416)"
"6","all","haz_quarter","anemia_28binary","Anemia","Birth",608,"0.0037 (-0.0077, 0.0225)"
"7","all","haz_quarter","anemia_28binary","Anemia","1 day-3 months",593,"0.0084 (-0.0116, 0.0357)"
"8","all","haz_quarter","anemia_28binary","Anemia",">3-6 months",575,"0.0043 (-0.0099, 0.0244)"
"9","all","haz_quarter","anemia_28binary","Anemia",">6-9 months",559,"0.0049 (-0.0099, 0.0256)"
"10","all","haz_quarter","anemia_28binary","Anemia",">9-12 months",548,"0.0049 (-0.0109, 0.0245)"
"11","all","haz_quarter","birthlength","Birth length (cm)","Birth",622,"-0.2522 (-0.4108, -0.0899)"
"12","all","haz_quarter","birthlength","Birth length (cm)","1 day-3 months",605,"-0.1235 (-0.2265, -0.0319)"
"13","all","haz_quarter","birthlength","Birth length (cm)",">3-6 months",585,"-0.0815 (-0.1562, -0.0184)"
"14","all","haz_quarter","birthlength","Birth length (cm)",">6-9 months",567,"-0.0801 (-0.1586, -0.0099)"
"15","all","haz_quarter","birthlength","Birth length (cm)",">9-12 months",557,"-0.062 (-0.1269, -0.0036)"
"16","all","haz_quarter","birthweight",NA,"Birth",622,"-0.1113 (-0.2043, -0.0242)"
"17","all","haz_quarter","birthweight",NA,"1 day-3 months",607,"-0.1118 (-0.2082, -0.0217)"
"18","all","haz_quarter","birthweight",NA,">3-6 months",587,"-0.0694 (-0.1446, 0.001)"
"19","all","haz_quarter","birthweight",NA,">6-9 months",569,"-0.0622 (-0.1337, 0.0034)"
"20","all","haz_quarter","birthweight",NA,">9-12 months",558,"-0.042 (-0.0958, 0.0065)"
