"","gravidae","outcome","mediator","mediator_label","age_group","n","ACME_CI"
"1","single","haz_quarter","ADA",NA,"Birth",51,"0.0164 (-0.1618, 0.214)"
"2","single","haz_quarter","ADA",NA,"1 day-3 months",50,"-0.0223 (-0.2829, 0.2289)"
"3","single","haz_quarter","ADA",NA,">3-6 months",51,"0.0152 (-0.1835, 0.2394)"
"4","single","haz_quarter","ADA",NA,">6-9 months",51,"0.0871 (-0.0585, 0.3176)"
"5","single","haz_quarter","ADA",NA,">9-12 months",51,"0.0786 (-0.0682, 0.322)"
"6","single","haz_quarter","anemia_28binary","Anemia","Birth",139,"0.0129 (-0.0628, 0.1004)"
"7","single","haz_quarter","anemia_28binary","Anemia","1 day-3 months",135,"0.0538 (-0.0183, 0.1657)"
"8","single","haz_quarter","anemia_28binary","Anemia",">3-6 months",128,"0.047 (-0.0228, 0.1588)"
"9","single","haz_quarter","anemia_28binary","Anemia",">6-9 months",122,"0.0507 (-0.0197, 0.1648)"
"10","single","haz_quarter","anemia_28binary","Anemia",">9-12 months",116,"0.0365 (-0.0285, 0.1316)"
"11","single","haz_quarter","birthlength","Birth length (cm)","Birth",146,"-0.3176 (-0.6248, 0.0185)"
"12","single","haz_quarter","birthlength","Birth length (cm)","1 day-3 months",141,"-0.1893 (-0.4201, -0.0003)"
"13","single","haz_quarter","birthlength","Birth length (cm)",">3-6 months",133,"-0.076 (-0.249, 0.0355)"
"14","single","haz_quarter","birthlength","Birth length (cm)",">6-9 months",126,"-0.1524 (-0.3688, 0.0032)"
"15","single","haz_quarter","birthlength","Birth length (cm)",">9-12 months",121,"-0.1192 (-0.2951, 0.0122)"
"16","single","haz_quarter","birthweight",NA,"Birth",146,"-0.0135 (-0.1943, 0.1763)"
"17","single","haz_quarter","birthweight",NA,"1 day-3 months",142,"-0.0154 (-0.2042, 0.1988)"
"18","single","haz_quarter","birthweight",NA,">3-6 months",134,"0.0145 (-0.145, 0.2027)"
"19","single","haz_quarter","birthweight",NA,">6-9 months",127,"-0.0127 (-0.1917, 0.1844)"
"20","single","haz_quarter","birthweight",NA,">9-12 months",121,"0.0079 (-0.1413, 0.1801)"
"21","single","haz_quarter","birthweight_kg","Birth weight (kg)","Birth",146,"-0.0129 (-0.1945, 0.1851)"
"22","single","haz_quarter","birthweight_kg","Birth weight (kg)","1 day-3 months",142,"-0.0149 (-0.2139, 0.1998)"
"23","single","haz_quarter","birthweight_kg","Birth weight (kg)",">3-6 months",134,"0.015 (-0.1475, 0.2073)"
"24","single","haz_quarter","birthweight_kg","Birth weight (kg)",">6-9 months",127,"-0.0122 (-0.1936, 0.1822)"
"25","single","haz_quarter","birthweight_kg","Birth weight (kg)",">9-12 months",121,"0.0084 (-0.1425, 0.18)"
"26","single","haz_quarter","CCL11",NA,"Birth",51,"0.0135 (-0.1004, 0.1612)"
